,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
*ST西发,000752.SZ,主要消费,食品、饮料与烟草,饮料,啤酒,价值型
漳州发展,000753.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车经销商与汽车服务,成长型
山西路桥,000755.SZ,工业,交通运输,交通基本设施,高速公路,价值型
新华制药,000756.SZ,医药卫生,医药生物,制药,化学药,混合型
浩物股份,000757.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车经销商与汽车服务,混合型
中色股份,000758.SZ,原材料,原材料,有色金属,其它有色金属及合金,价值型
中百集团,000759.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,大卖场与超市,混合型
本钢板材,000761.SZ,原材料,原材料,钢铁,钢铁,成长型
西藏矿业,000762.SZ,原材料,原材料,有色金属,稀有金属,混合型
通化金马,000766.SZ,医药卫生,医药生物,制药,化学药,价值型
晋控电力,000767.SZ,公用事业,公用事业,电力,火电,成长型
中航西飞,000768.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
广发证券,000776.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,价值型
中核科技,000777.SZ,工业,资本品,机械制造,通用机械,成长型
新兴铸管,000778.SZ,原材料,原材料,钢铁,钢铁,价值型
甘咨询,000779.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
ST平能,000780.SZ,能源,能源,煤炭,煤炭,价值型
美达股份,000782.SZ,原材料,原材料,化学制品,纤维及树脂,价值型
长江证券,000783.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
居然之家,000785.SZ,可选消费,零售业,多元化零售,综合货品商店,价值型
北新建材,000786.SZ,原材料,原材料,建筑材料,其他建材,混合型
北大医药,000788.SZ,医药卫生,医药生物,制药,化学药,价值型
万年青,000789.SZ,原材料,原材料,建筑材料,水泥,价值型
华神科技,000790.SZ,医药卫生,医药生物,制药,中药,混合型
甘肃电投,000791.SZ,公用事业,公用事业,电力,水电,成长型
盐湖股份,000792.SZ,原材料,原材料,化学制品,化肥与农药,混合型
华闻集团,000793.SZ,可选消费,传媒,传媒,出版,价值型
英洛华,000795.SZ,原材料,原材料,有色金属,稀有金属,成长型
凯撒旅业,000796.SZ,可选消费,消费者服务,酒店、餐馆与休闲,旅行社,价值型
